# Time, systemEnergy
0.001617,  2481.170408
0.001621,  2481.150392
0.001625,  2481.130413
0.001629,  2481.110471
0.001633,  2481.090565
0.001638,  2481.070697
0.001642,  2481.050865
0.001646,  2481.031070
0.001650,  2481.011311
0.001654,  2480.991589
0.001658,  2480.971902
0.001663,  2480.952252
0.001667,  2480.932638
0.001671,  2480.913059
0.001675,  2480.893516
0.001679,  2480.874009
0.001683,  2480.854538
0.001688,  2480.835101
0.001692,  2480.815700
0.001696,  2480.796335
0.001700,  2480.777004
0.001704,  2480.757708
0.001708,  2480.738447
0.001713,  2480.719221
0.001717,  2480.700029
0.001721,  2480.680872
0.001725,  2480.661749
0.001729,  2480.642661
0.001733,  2480.623607
0.001738,  2480.604586
0.001742,  2480.585600
0.001746,  2480.566648
0.001750,  2480.547729
0.001754,  2480.528844
0.001758,  2480.509993
0.001763,  2480.491175
0.001767,  2480.472391
0.001771,  2480.453639
0.001775,  2480.434921
0.001779,  2480.416236
0.001783,  2480.397584
0.001788,  2480.378965
0.001792,  2480.360378
0.001796,  2480.341824
0.001800,  2480.323303
0.001804,  2480.304814
0.001808,  2480.286358
0.001813,  2480.267933
0.001817,  2480.249541
0.001821,  2480.231181
0.001825,  2480.212853
0.001829,  2480.194557
0.001833,  2480.176293
0.001838,  2480.158060
0.001842,  2480.139859
0.001846,  2480.121689
0.001850,  2480.103551
0.001854,  2480.085444
0.001858,  2480.067369
0.001863,  2480.049324
0.001867,  2480.031311
0.001871,  2480.013328
0.001875,  2479.995377
0.001879,  2479.977456
0.001883,  2479.959565
0.001888,  2479.941706
0.001892,  2479.923877
0.001896,  2479.906078
0.001900,  2479.888310
0.001904,  2479.870572
0.001908,  2479.852864
0.001913,  2479.835186
0.001917,  2479.817538
0.001921,  2479.799920
0.001925,  2479.782331
0.001929,  2479.764773
0.001933,  2479.747244
0.001938,  2479.729745
0.001942,  2479.712275
0.001946,  2479.694834
0.001950,  2479.677423
0.001954,  2479.660041
0.001958,  2479.642688
0.001963,  2479.625365
0.001967,  2479.608070
0.001971,  2479.590804
0.001975,  2479.573567
0.001979,  2479.556358
0.001983,  2479.539178
0.001988,  2479.522027
0.001992,  2479.504905
0.001996,  2479.487810
0.002000,  2479.470744
0.002004,  2479.453706
0.002008,  2479.436697
0.002013,  2479.419715
0.002017,  2479.402762
0.002021,  2479.385836
0.002025,  2479.368938
0.002029,  2479.352069
0.002033,  2479.335226
0.002038,  2479.318412
0.002042,  2479.301625
0.002046,  2479.284865
0.002050,  2479.268133
0.002054,  2479.251428
0.002058,  2479.234750
0.002063,  2479.218100
0.002067,  2479.201476
0.002071,  2479.184880
0.002075,  2479.168311
0.002079,  2479.151768
0.002083,  2479.135252
0.002088,  2479.118763
0.002092,  2479.102301
0.002096,  2479.085865
0.002100,  2479.069456
0.002104,  2479.053073
0.002108,  2479.036716
0.002113,  2479.020386
0.002117,  2479.004082
0.002121,  2478.987805
0.002125,  2478.971553
0.002129,  2478.955327
0.002133,  2478.939127
0.002138,  2478.922953
0.002142,  2478.906805
0.002146,  2478.890683
0.002150,  2478.874586
0.002154,  2478.858515
0.002158,  2478.842470
0.002163,  2478.826450
0.002167,  2478.810455
0.002171,  2478.794486
0.002175,  2478.778542
0.002179,  2478.762623
0.002183,  2478.746729
0.002188,  2478.730860
0.002192,  2478.715016
0.002196,  2478.699198
0.002200,  2478.683404
0.002204,  2478.667635
0.002208,  2478.651890
0.002213,  2478.636170
0.002217,  2478.620475
0.002221,  2478.604805
0.002225,  2478.589159
0.002229,  2478.573537
0.002233,  2478.557940
0.002238,  2478.542366
0.002242,  2478.526818
0.002246,  2478.511293
0.002250,  2478.495792
0.002254,  2478.480316
0.002258,  2478.464863
0.002263,  2478.449434
0.002267,  2478.434030
0.002271,  2478.418648
0.002275,  2478.403291
0.002279,  2478.387957
0.002283,  2478.372647
0.002288,  2478.357361
0.002292,  2478.342098
0.002296,  2478.326858
0.002300,  2478.311642
0.002304,  2478.296449
0.002308,  2478.281279
0.002313,  2478.266132
0.002317,  2478.251009
0.002321,  2478.235909
0.002325,  2478.220831
0.002329,  2478.205777
0.002333,  2478.190745
0.002338,  2478.175736
0.002342,  2478.160750
0.002346,  2478.145787
0.002350,  2478.130846
0.002354,  2478.115928
0.002358,  2478.101033
0.002363,  2478.086160
0.002367,  2478.071309
0.002371,  2478.056481
0.002375,  2478.041675
0.002379,  2478.026892
0.002383,  2478.012130
0.002388,  2477.997391
0.002392,  2477.982674
0.002396,  2477.967978
0.002400,  2477.953305
0.002404,  2477.938654
0.002408,  2477.924025
0.002413,  2477.909417
0.002417,  2477.894831
0.002421,  2477.880267
0.002425,  2477.865724
0.002429,  2477.851204
0.002433,  2477.836704
0.002438,  2477.822226
0.002442,  2477.807770
0.002446,  2477.793335
0.002450,  2477.778921
0.002454,  2477.764529
0.002458,  2477.750158
0.002463,  2477.735808
0.002467,  2477.721479
0.002471,  2477.707171
0.002475,  2477.692884
0.002479,  2477.678618
0.002483,  2477.664373
0.002488,  2477.650149
0.002492,  2477.635946
0.002496,  2477.621763
0.002500,  2477.607601
0.002504,  2477.593460
0.002508,  2477.579340
0.002513,  2477.565240
0.002517,  2477.551160
0.002521,  2477.537101
0.002525,  2477.523062
0.002529,  2477.509044
0.002533,  2477.495046
0.002538,  2477.481068
0.002542,  2477.467111
0.002546,  2477.453173
0.002550,  2477.439256
0.002554,  2477.425359
0.002558,  2477.411482
0.002563,  2477.397625
0.002567,  2477.383787
0.002571,  2477.369970
0.002575,  2477.356172
0.002579,  2477.342394
0.002583,  2477.328636
0.002588,  2477.314898
0.002592,  2477.301179
0.002596,  2477.287480
0.002600,  2477.273800
0.002604,  2477.260140
0.002608,  2477.246499
0.002613,  2477.232878
0.002617,  2477.219276
0.002621,  2477.205693
0.002625,  2477.192129
0.002629,  2477.178585
0.002633,  2477.165060
0.002638,  2477.151554
0.002642,  2477.138067
0.002646,  2477.124599
0.002650,  2477.111150
0.002654,  2477.097720
0.002658,  2477.084309
0.002663,  2477.070917
0.002667,  2477.057544
0.002671,  2477.044189
0.002675,  2477.030853
0.002679,  2477.017536
0.002683,  2477.004237
0.002688,  2476.990957
0.002692,  2476.977695
0.002696,  2476.964452
0.002700,  2476.951228
0.002704,  2476.938021
0.002708,  2476.924834
0.002713,  2476.911664
0.002717,  2476.898513
0.002721,  2476.885380
0.002725,  2476.872265
0.002729,  2476.859168
0.002733,  2476.846090
0.002738,  2476.833029
0.002742,  2476.819987
0.002746,  2476.806962
0.002750,  2476.793956
0.002754,  2476.780967
0.002758,  2476.767996
0.002763,  2476.755043
0.002767,  2476.742108
0.002771,  2476.729190
0.002775,  2476.716290
0.002779,  2476.703408
0.002783,  2476.690544
0.002788,  2476.677697
0.002792,  2476.664867
0.002796,  2476.652055
0.002800,  2476.639261
0.002804,  2476.626483
0.002808,  2476.613724
0.002813,  2476.600981
0.002817,  2476.588256
0.002821,  2476.575548
0.002825,  2476.562857
0.002829,  2476.550184
0.002833,  2476.537527
0.002838,  2476.524888
0.002842,  2476.512265
0.002846,  2476.499660
0.002850,  2476.487072
0.002854,  2476.474500
