# Time,    neckLengthIntegrate,    neckLengthFormula
0.001283,    0.212215,    0.307227
0.001288,    0.212244,    0.307273
0.001292,    0.212273,    0.307319
0.001296,    0.212301,    0.307365
0.001300,    0.212330,    0.307411
0.001304,    0.212359,    0.307456
0.001308,    0.212387,    0.307502
0.001313,    0.212416,    0.307548
0.001317,    0.212444,    0.307594
0.001321,    0.212473,    0.307639
0.001325,    0.212501,    0.307685
0.001329,    0.212529,    0.307730
0.001333,    0.212557,    0.307776
0.001338,    0.212586,    0.307821
0.001342,    0.212614,    0.307867
0.001346,    0.212642,    0.307912
0.001350,    0.212670,    0.307957
0.001354,    0.212698,    0.308003
0.001358,    0.212726,    0.308048
0.001363,    0.212754,    0.308093
0.001367,    0.212781,    0.308138
0.001371,    0.212809,    0.308183
0.001375,    0.212837,    0.308228
0.001379,    0.212865,    0.308273
0.001383,    0.212892,    0.308318
0.001388,    0.212920,    0.308363
0.001392,    0.212947,    0.308408
0.001396,    0.212975,    0.308453
0.001400,    0.213002,    0.308497
0.001404,    0.213030,    0.308542
0.001408,    0.213057,    0.308587
0.001413,    0.213084,    0.308631
0.001417,    0.213111,    0.308676
0.001421,    0.213139,    0.308720
0.001425,    0.213166,    0.308765
0.001429,    0.213193,    0.308809
0.001433,    0.213220,    0.308854
0.001438,    0.213247,    0.308898
0.001442,    0.213274,    0.308942
0.001446,    0.213301,    0.308987
0.001450,    0.213327,    0.309031
0.001454,    0.213354,    0.309075
0.001458,    0.213381,    0.309119
0.001463,    0.213408,    0.309163
0.001467,    0.213434,    0.309207
0.001471,    0.213461,    0.309251
0.001475,    0.213488,    0.309295
0.001479,    0.213514,    0.309339
0.001483,    0.213541,    0.309383
0.001488,    0.213567,    0.309426
0.001492,    0.213593,    0.309470
0.001496,    0.213620,    0.309514
0.001500,    0.213646,    0.309558
0.001504,    0.213672,    0.309601
0.001508,    0.213699,    0.309645
0.001513,    0.213725,    0.309688
0.001517,    0.213751,    0.309732
0.001521,    0.213777,    0.309775
0.001525,    0.213803,    0.309818
0.001529,    0.213829,    0.309862
0.001533,    0.213855,    0.309905
0.001538,    0.213881,    0.309948
0.001542,    0.213907,    0.309991
0.001546,    0.213933,    0.310035
0.001550,    0.213958,    0.310078
0.001554,    0.213984,    0.310121
0.001558,    0.214010,    0.310164
0.001563,    0.214035,    0.310207
0.001567,    0.214061,    0.310250
0.001571,    0.214087,    0.310292
0.001575,    0.214112,    0.310335
0.001579,    0.214138,    0.310378
0.001583,    0.214163,    0.310421
0.001588,    0.214188,    0.310463
0.001592,    0.214214,    0.310506
0.001596,    0.214239,    0.310549
0.001600,    0.214264,    0.310591
0.001604,    0.214290,    0.310634
0.001608,    0.214315,    0.310676
0.001613,    0.214340,    0.310719
0.001617,    0.214365,    0.310761
0.001621,    0.214390,    0.310803
0.001625,    0.214415,    0.310846
0.001629,    0.214440,    0.310888
0.001633,    0.214465,    0.310930
0.001638,    0.214490,    0.310972
0.001642,    0.214515,    0.311014
0.001646,    0.214540,    0.311056
0.001650,    0.214565,    0.311099
0.001654,    0.214589,    0.311140
0.001658,    0.214614,    0.311182
0.001663,    0.214639,    0.311224
0.001667,    0.214663,    0.311266
0.001671,    0.214688,    0.311308
0.001675,    0.214713,    0.311350
0.001679,    0.214737,    0.311391
0.001683,    0.214762,    0.311433
0.001688,    0.214786,    0.311475
0.001692,    0.214811,    0.311516
0.001696,    0.214835,    0.311558
0.001700,    0.214859,    0.311599
0.001704,    0.214884,    0.311641
0.001708,    0.214908,    0.311682
0.001713,    0.214932,    0.311724
0.001717,    0.214956,    0.311765
0.001721,    0.214980,    0.311806
0.001725,    0.215005,    0.311848
0.001729,    0.215029,    0.311889
0.001733,    0.215053,    0.311930
0.001738,    0.215077,    0.311971
0.001742,    0.215101,    0.312012
0.001746,    0.215125,    0.312053
0.001750,    0.215149,    0.312094
0.001754,    0.215172,    0.312135
0.001758,    0.215196,    0.312176
0.001763,    0.215220,    0.312217
0.001767,    0.215244,    0.312258
0.001771,    0.215268,    0.312298
0.001775,    0.215291,    0.312339
0.001779,    0.215315,    0.312380
0.001783,    0.215339,    0.312420
0.001788,    0.215362,    0.312461
0.001792,    0.215386,    0.312502
0.001796,    0.215409,    0.312542
0.001800,    0.215433,    0.312583
0.001804,    0.215456,    0.312623
0.001808,    0.215480,    0.312663
0.001813,    0.215503,    0.312704
0.001817,    0.215526,    0.312744
0.001821,    0.215550,    0.312784
0.001825,    0.215573,    0.312825
0.001829,    0.215596,    0.312865
0.001833,    0.215619,    0.312905
0.001838,    0.215643,    0.312945
0.001842,    0.215666,    0.312985
0.001846,    0.215689,    0.313025
0.001850,    0.215712,    0.313065
0.001854,    0.215735,    0.313105
0.001858,    0.215758,    0.313145
0.001863,    0.215781,    0.313185
0.001867,    0.215804,    0.313225
0.001871,    0.215827,    0.313264
0.001875,    0.215850,    0.313304
0.001879,    0.215873,    0.313344
0.001883,    0.215895,    0.313383
0.001888,    0.215918,    0.313423
0.001892,    0.215941,    0.313463
0.001896,    0.215964,    0.313502
0.001900,    0.215986,    0.313542
0.001904,    0.216009,    0.313581
0.001908,    0.216032,    0.313621
0.001913,    0.216054,    0.313660
0.001917,    0.216077,    0.313699
0.001921,    0.216099,    0.313739
0.001925,    0.216122,    0.313778
0.001929,    0.216144,    0.313817
0.001933,    0.216167,    0.313856
